Nome;Data de Nascimento;Idade;Estado Civil;Número de Filhos;RG;CPF;Telefone;Aposentadoria;Invalidez;Religião;Batizado;Moradia;Condições;Número de Cômodos;Banheiro;Luz Elétrica;Água Encanada;Esgoto;Acesso a Benefícios Sociais;Observação do Agente Pastoral
Danilo da Mata;17/05/1950;74;Casado;2;404406257;159.073.642-70;99835-6343;Sim;Sim;Católico;Sim;Própria;Regular;3;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Luiz Gustavo Santos;12/02/1987;37;Divorciado;4;336341756;523.479.861-55;-;Não;Não;Católico;Sim;Própria;Precária;5;Sim;Sim;Sim;Não;Sim;Nenhuma
Bianca Rocha;01/04/1991;33;Divorciado;5;526948432;918.475.326-91;98232-5959;Não;Não;Evangélica;Sim;Alugada;Precária;3;Sim;Sim;Sim;Não;Sim;Nenhuma
André Campos;28/03/1993;31;Divorciado;0;394586661;483.176.920-78;98794-6670;Não;Não;Católico;Sim;Própria;Regular;1;Sim;Sim;Sim;Não;Sim;Nenhuma
Vitor Gabriel Barbosa;20/03/2005;19;Divorciado;5;510020492;519.084.632-60;98100-8785;Não;Não;Católico;Sim;Cedida;Boa;4;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Emanuelly Moura;18/08/2001;22;Divorciado;0;245644461;591.674.302-52;98616-2395;Não;Não;Católico;Não;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Heitor Fernandes;06/06/1984;40;Casado;0;985003971;584.916.023-05;98157-8481;Não;Não;Evangélica;Não;Alugada;Boa;3;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Alexandre Silva;27/10/1995;28;Casado;1;578906573;682.713.950-68;98521-7262;Não;Não;Espírita;Não;Própria;Precária;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Augusto Nogueira;16/09/1983;40;Viúvo;1;572029145;625.798.013-59;99824-7050;Não;Não;Sem religião;Sim;Cedida;Boa;3;Sim;Sim;Sim;Sim;Sim;Nenhuma
João Gabriel Barbosa;06/08/1961;63;Divorciado;3;354867902;259.738.041-60;97531-7325;Sim;Sim;Católico;Não;Alugada;Precária;3;Sim;Sim;Sim;Não;Sim;Nenhuma
Luiza Nascimento;15/05/1993;31;Casado;5;277261084;938.250.476-10;98392-4914;Não;Não;Católico;Sim;Cedida;Precária;2;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Isabel Cardoso;28/05/1972;52;Viúvo;3;781300049;146.078.593-20;97778-9564;Não;Não;Evangélica;Não;Própria;Precária;5;Sim;Sim;Sim;Sim;Sim;Nenhuma
Renan Ferreira;03/12/1992;31;Viúvo;4;144618574;904.168.753-00;98114-3870;Não;Não;Católico;Não;Alugada;Boa;5;Sim;Sim;Sim;Não;Sim;Nenhuma
André Nunes;24/08/2004;19;Viúvo;0;249915874;915.864.072-01;98361-4826;Não;Não;Católico;Não;Alugada;Boa;3;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Juan Moreira;30/04/1960;64;Casado;5;884027968;608.127.394-69;99821-3512;Sim;Sim;Católico;Sim;Alugada;Precária;4;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Benjamin Almeida;11/07/1970;54;Viúvo;0;675936014;025.379.861-21;97147-5856;Sim;Sim;Católico;Sim;Própria;Regular;3;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Bernardo Duarte;13/05/1953;71;Divorciado;1;977601427;249.571.836-19;98040-6974;Sim;Não;Evangélica;Sim;Cedida;Regular;4;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Kamilly Moraes;21/11/1967;56;Casado;0;542096339;642.973.801-96;98996-5160;Não;Não;Católico;Não;Própria;Precária;1;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
João Vitor Silva;10/06/1989;35;Divorciado;4;943344579;417.328.950-23;98565-2879;Não;Não;Evangélica;Não;Alugada;Regular;4;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
Fernanda Gomes;03/07/1993;31;Solteiro;2;744405241;167.840.532-90;91189-3597;Não;Não;Sem religião;Sim;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Marcela Ribeiro;16/10/1952;71;Divorciado;5;394930266;961.875.203-86;98333-2727;Não;Não;Espírita;Não;Própria;Precária;1;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Stella Cunha;11/10/1989;34;Solteiro;3;103706612;679.145.203-06;98554-5415;Não;Não;Católico;Sim;Própria;Boa;4;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Enzo Alves;13/01/1952;72;Divorciado;2;748909107;657.483.219-55;98192-0554;Sim;Não;Católico;Sim;Cedida;Boa;2;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Vicente Melo;22/04/2002;22;Solteiro;5;584106831;168.437.250-07;98399-7336;Não;Não;Católico;Não;Própria;Boa;5;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Marcelo das Neves;04/07/2003;21;Solteiro;5;603840777;790.358.614-93;98686-2213;Não;Não;Espírita;Sim;Própria;Boa;3;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Heloísa Azevedo;30/12/1956;67;Casado;3;367379055;018.376.459-57;98254-0260;Sim;Não;Católico;Não;Cedida;Precária;2;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Lara Silveira;28/11/1979;44;Divorciado;3;487745995;129.467.380-78;98176-5232;Não;Não;Sem religião;Sim;Cedida;Precária;1;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
Yago da Mota;27/03/1950;74;Solteiro;4;179993923;196.502.387-86;98640-7420;Sim;Não;Católico;Sim;Cedida;Boa;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Joaquim da Rosa;10/07/2003;21;Divorciado;3;542351545;605.214.978-76;98160-4434;Não;Não;Católico;Não;Cedida;Regular;5;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Isabella Oliveira;13/01/1959;65;Divorciado;3;411108326;507.328.416-07;99013-9743;Sim;Não;Católico;Sim;Alugada;Regular;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Bianca Moreira;22/06/1974;50;Viúvo;0;677586946;491.365.720-80;98127-2810;Não;Não;Católico;Sim;Própria;Precária;5;Sim;Sim;Sim;Não;Sim;Nenhuma
Camila Alves;17/07/1964;60;Viúvo;4;828980116;018.427.539-32;98854-1905;Não;Não;Evangélica;Sim;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Nenhuma
Cauê Barbosa;31/12/1987;36;Casado;5;350420664;512.680.947-49;95099-8066;Não;Não;Espírita;Não;Cedida;Boa;4;Sim;Sim;Sim;Sim;Não;Nenhuma
Isis Moreira;13/06/1985;39;Divorciado;3;877166101;603.945.712-07;98111-7962;Não;Não;Católico;Não;Cedida;Regular;5;Sim;Sim;Não;Sim;Não;Necessita acompanhamento
João Felipe Ramos;26/06/1951;73;Viúvo;4;764816699;308.214.975-88;91425-8147;Sim;Não;Católico;Sim;Alugada;Precária;4;Sim;Sim;Não;Não;Sim;Em situação vulnerável
Laís Rocha;28/12/1943;80;Solteiro;4;302596011;925.340.871-50;-;Não;Não;Católico;Não;Cedida;Precária;4;Sim;Sim;Não;Não;Não;Em situação vulnerável
Ryan Fogaça;23/12/1982;41;Divorciado;1;241730776;341.025.698-98;99026-3067;Não;Não;Evangélica;Não;Alugada;Precária;6;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
Alexia Nogueira;23/09/1978;45;Divorciado;1;463719332;815.927.463-73;98170-7600;Não;Sim;Espírita;Sim;Cedida;Precária;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Benício Lopes;11/01/1950;74;Solteiro;2;629987726;281.640.935-05;99871-7123;Sim;Sim;Católico;Sim;Cedida;Boa;4;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Brenda Martins;12/05/1961;63;Solteiro;2;200564311;689.210.453-33;98166-5929;Sim;Sim;Sem religião;Sim;Própria;Precária;5;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Sophie Cavalcanti;08/06/1945;79;Casado;0;922255872;576.081.324-26;99481-8732;Sim;Não;Católico;Não;Própria;Boa;2;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Kevin Novaes;04/10/1952;71;Solteiro;1;803939844;126.548.307-80;98108-4699;Sim;Não;Católico;Não;Alugada;Boa;1;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
Mariana da Rocha;22/01/1970;54;Viúvo;3;368779001;147.035.698-84;97484-9130;Não;Não;Evangélica;Não;Própria;Precária;2;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Luiz Fernando Souza;22/06/1983;41;Divorciado;5;662524526;502.647.183-80;99872-4855;Não;Não;Evangélica;Sim;Alugada;Precária;4;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Bruna Cardoso;26/12/1975;48;Solteiro;5;389958002;062.859.431-33;99509-0076;Não;Não;Católico;Sim;Alugada;Boa;3;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Clara Rodrigues;18/10/1975;48;Casado;2;206452561;125.307.468-26;99882-6231;Não;Não;Católico;Não;Alugada;Precária;7;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Joaquim Souza;18/08/1952;71;Viúvo;5;219426181;851.623.079-12;97890-1618;Sim;Não;Católico;Sim;Cedida;Precária;4;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Luana das Neves;05/11/1994;29;Viúvo;2;154362909;897.042.165-30;98441-4483;Sim;Sim;Espírita;Não;Cedida;Regular;2;Sim;Sim;Sim;Não;Não;Nenhuma
Vicente Nunes;04/12/1951;72;Viúvo;2;605792256;958.613.024-05;98301 6388;Sim;Não;Espírita;Sim;Cedida;Boa;6;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Rafael Souza;20/09/1956;67;Viúvo;1;351029342;512.379.804-88;99460-8427;Sim;Sim;Católico;Sim;Própria;Boa;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Daniel Sales;23/04/1967;57;Solteiro;3;176451384;185.760.432-62;98823-2349;Não;Não;Sem religião;Não;Própria;Precária;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Vitor Hugo Rezende;03/03/1966;58;Casado;4;650654233;495.316.278-19;94542-5529;Não;Não;Católico;Não;Própria;Boa;3;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Fernando da Luz;22/03/1970;54;Casado;0;893155778;512.680.943-15;97898-6777;Não;Não;Espírita;Não;Alugada;Precária;5;Sim;Sim;Sim;Sim;Não;Em situação vulnerável
Marcelo Vieira;06/09/1992;31;Viúvo;0;315006249;542.389.671-19;97820-6791;Não;Não;Católico;Sim;Cedida;Regular;4;Sim;Sim;Sim;Não;Sim;Nenhuma
Ana Carolina Freitas;06/03/1985;39;Viúvo;1;542918139;389.017.625-95;92147-8240;Não;Não;Evangélica;Não;Própria;Boa;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Maria Silveira;02/07/1988;36;Viúvo;5;437725311;782.095.361-68;98042-1723;Não;Não;Católico;Sim;Própria;Boa;3;Sim;Sim;Sim;Sim;Não;Nenhuma
Breno Peixoto;04/11/1969;54;Solteiro;2;533309935;901.732.658-12;99705-0737;Não;Não;Espírita;Não;Alugada;Precária;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Luana das Neves;29/06/1985;39;Casado;0;369650050;931.652.408-33;98546-0815;Não;Não;Evangélica;Não;Própria;Boa;2;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Luiz Otávio Castro;26/11/1971;52;Casado;5;326959261;921.570.846-49;91768-6175;Não;Não;Católico;Não;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Nenhuma
Enzo Gabriel Lima;21/11/1972;51;Viúvo;5;258693185;895.130.726-30;91411-1035;Não;Não;Católico;Sim;Alugada;Regular;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Caio Ferreira;28/03/2005;19;Divorciado;4;650242195;513.647.092-52;98621-6731;Não;Não;Católico;Não;Alugada;Regular;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Sofia Caldeira;29/09/1947;76;Solteiro;2;627866449;802.963.471-40;98713-1510;Sim;Não;Católico;Não;Cedida;Regular;4;Sim;Sim;Sim;Sim;Não;Nenhuma
João Miguel Mendes;09/09/1949;74;Viúvo;0;418431688;869.217.430-04;96962-7525;Sim;Sim;Católico;Não;Cedida;Boa;5;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Guilherme Souza;09/09/1978;45;Viúvo;5;217946662;029.684.317-22;98663-5197;Não;Não;Espírita;Não;Própria;Regular;2;Sim;Sim;Sim;Não;Não;Nenhuma
Camila Moraes;23/11/1959;64;Casado;0;170141284;493.208.156-15;98302-1632;Sim;Não;Espírita;Não;Cedida;Boa;3;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Milena Lopes;04/01/2002;22;Casado;2;721707387;926.318.054-70;98657-1431;Não;Não;Católico;Não;Própria;Regular;5;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Brenda Azevedo;16/06/1971;53;Divorciado;2;670931574;580.629.374-29;98212-9817;Não;Não;Sem religião;Não;Alugada;Regular;4;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Sra. Julia Duarte;30/12/1951;72;Divorciado;0;330917192;379.521.068-21;98119-5248;Sim;Não;Espírita;Não;Própria;Precária;6;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Evelyn Nunes;14/04/1980;44;Viúvo;0;320211431;250.917.483-50;97660-1367;Não;Não;Sem religião;Sim;Própria;Regular;1;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Nina Sales;04/03/1973;51;Viúvo;0;376021408;503.496.821-51;98172-6611;Não;Não;Espírita;Não;Própria;Regular;5;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Maysa Castro;09/08/1965;59;Viúvo;4;422267297;742.018.639-13;98844-0365;Não;Não;Católico;Sim;Cedida;Regular;5;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Luiza Duarte;17/10/1994;29;Solteiro;3;727076301;435.602.978-00;98637-2062;Não;Não;Espírita;Não;Alugada;Precária;4;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Ana Vitória Lopes;27/12/2004;19;Solteiro;5;226922483;620.984.317-40;93513-9164;Não;Não;Espírita;Não;Alugada;Boa;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Maria Freitas;21/10/1986;37;Viúvo;2;549280935;940.872.153-50;88551-8262;Não;Não;Sem religião;Sim;Alugada;Regular;5;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Bernardo Pinto;09/05/1992;32;Casado;2;768681292;896.172.345-64;97056-4639;Não;Não;Católico;Sim;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Luiz Otávio Moreira;15/11/1979;44;Solteiro;0;596511035;139.582.460-60;98034-0722;Não;Não;Evangélica;Não;Própria;Boa;4;Sim;Sim;Sim;Não;Sim;Nenhuma
Benício Moura;04/06/1970;54;Casado;0;861222958;492.167.583-09;98427-4674;Não;Não;Sem religião;Não;Cedida;Boa;2;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Vitor Hugo da Cunha;30/08/1997;26;Divorciado;4;430600747;924.876.301-40;99980-8281;Não;Não;Sem religião;Não;Alugada;Precária;3;Sim;Sim;Sim;Não;Sim;Nenhuma
Lorenzo Correia;10/04/2005;19;Casado;4;914226789;031.954.627-61;-;Não;Não;Sem religião;Sim;Cedida;Boa;4;Sim;Sim;Sim;Não;Não;Nenhuma
Guilherme Vieira;04/04/1987;37;Casado;5;334298410;269.705.183-02;99942-1894;Não;Não;Sem religião;Não;Própria;Precária;4;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Kamilly da Mata;15/05/1987;37;Casado;4;911561821;846.503.719-10;93354-9656;Não;Não;Sem religião;Não;Alugada;Precária;1;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Leonardo Aragão;09/09/1995;28;Casado;2;826578625;896.150.247-67;93278-8796;Não;Não;Católico;Não;Cedida;Boa;4;Sim;Sim;Sim;Não;Não;Nenhuma
Dra. Stella Mendes;17/07/1961;63;Viúvo;0;923654964;450.631.829-33;98975-9520;Não;Não;Espírita;Sim;Alugada;Regular;1;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Maitê Ribeiro;25/08/1965;58;Solteiro;4;968660306;174.205.639-34;99792-9355;Não;Não;Católico;Não;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Nenhuma
Gustavo Henrique Cunha;07/09/1974;49;Solteiro;0;973869073;194.068.327-04;99891-9671;Não;Não;Espírita;Não;Cedida;Boa;5;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Rafaela Nascimento;26/05/1963;61;Solteiro;0;276498028;085.491.736-57;94301-2677;Não;Não;Sem religião;Sim;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Nenhuma
Kaique Lopes;16/05/2001;23;Solteiro;1;813501473;571.639.428-00;99715-9699;Não;Não;Sem religião;Não;Alugada;Boa;2;Sim;Sim;Sim;Não;Sim;Nenhuma
Thales Novaes;16/03/2002;22;Casado;0;140801403;895.270.463-00;91178-2729;Não;Não;Evangélica;Sim;Cedida;Boa;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Maria Eduarda da Rocha;01/09/1950;73;Divorciado;3;596582854;280.439.561-89;98155-2649;Não;Não;Católico;Sim;Cedida;Boa;4;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Juan da Cunha;16/11/1975;48;Divorciado;2;774964370;782.645.109-49;98907-5586;Não;Não;Católico;Sim;Alugada;Regular;4;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
João Vitor Monteiro;05/06/1955;69;Solteiro;4;939511252;438.250.679-47;98588-9621;Sim;Sim;Católico;Sim;Própria;Regular;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Mariane da Paz;07/06/1983;41;Divorciado;3;943654336;016.795.384-20;97903-1522;Não;Não;Católico;Sim;Própria;Boa;1;Sim;Sim;Não;Não;Não;Nenhuma
Srta. Bárbara Nunes;18/09/1943;80;Viúvo;2;142450168;254.618.903-42;88457-0282;Não;Não;Sem religião;Sim;Própria;Regular;6;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Letícia Freitas;23/11/1966;57;Solteiro;1;988259990;140.957.632-99;91841-9984;Não;Não;Evangélica;Não;Cedida;Boa;4;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Erick da Rosa;19/09/1995;28;Viúvo;2;175872294;682.437.590-00;99126-3428;Não;Não;Católico;Não;Própria;Boa;4;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Joaquim da Mata;26/10/1993;30;Divorciado;1;639400969;195.738.642-82;98577-1444;Não;Não;Sem religião;Sim;Própria;Regular;4;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Pedro Henrique Ferreira;27/01/1982;42;Casado;2;365640771;087.123.659-12;98620-2698;Não;Não;Sem religião;Não;Cedida;Boa;4;Sim;Sim;Sim;Não;Não;Em situação vulnerável
Davi Lucca Castro;26/02/1974;50;Casado;1;418023868;479.152.830-14;98826-5872;Não;Não;Católico;Sim;Própria;Regular;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Emanuella Fogaça;13/07/1960;64;Solteiro;4;789316634;167.423.950-52;98111-4587;Sim;Sim;Católico;Não;Própria;Boa;4;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
